Day,Events
19631108,1
19631129,1
19631207,1
19631208,2
19631212,1
19631215,1
19631217,1
19640109,1
19640122,1
19640203,2
19640204,1
19640208,1
19640215,1
19640218,1
19640221,2
19640222,2
19640225,1
19640227,1
19640229,2
19640301,1
19640308,2
19640312,1
19640320,2
19640328,1
19640412,1
19640417,1
19640507,1
19640508,1
19640511,1
19640520,1
19640527,1
19640604,1
19640613,1
19640619,1
19640620,1
19640621,1
19640707,1
19640708,1
19641123,1
19640709,1
19640714,1
19640716,2
19640731,1
19640802,2
19640805,1
19640822,1
19640902,1
19640904,1
19640915,1
19641002,1
19641009,1
19641016,1
19641019,1
19641103,1
19641115,1
19641117,1
19650927,1
19641129,2
19641204,1
19641208,1
19641211,1
19641221,1
19641224,1
19641229,1
19641230,1
19650105,1
19650113,1
19650116,1
19650117,1
19650122,2
19650203,2
19650206,1
19650208,1
19650213,1
19650214,1
19731015,1
19650308,1
19650317,1
19650322,1
19650325,1
19650326,1
19650331,1
19650409,1
19650410,1
19650414,1
19650417,1
19650423,1
19650505,1
19650520,1
19650615,1
19650625,1
19650628,1
19650701,1
19651008,1
19650706,1
19650707,1
19650708,1
19650711,1
19650715,1
19650717,1
19650725,1
19650804,1
19650812,2
19650816,1
19650820,1
19650824,1
19650904,2
19650911,1
19650914,1
19650916,1
19650917,1
19750731,1
19651017,2
19651018,1
19651020,1
19651027,1
19651102,1
19651103,1
19651108,1
19651110,1
19651111,1
19651112,1
19651114,1
19651127,1
19651204,1
19660711,1
19651207,1
19651211,1
19651212,1
19651216,1
19651229,1
19660101,1
19660115,1
19660122,1
19660124,1
19660125,1
19660127,1
19660128,1
19660204,1
19660207,2
19660208,1
19660215,1
19660218,1
19660304,1
19660305,1
19660308,1
19660310,1
19660318,1
19660320,1
19660405,1
19660409,1
19660417,1
19660422,2
19660427,1
19660504,1
19660506,2
19660518,1
19660616,1
19660620,1
19660627,1
19660629,1
19660704,1
19660724,1
19660803,1
19660806,2
19660811,1
19660813,1
19660815,1
19660816,1
19660817,2
19660821,1
19660901,1
19660904,1
19660916,1
19660922,1
19661001,1
19661004,1
19661008,1
19751117,1
19661009,1
19661102,1
19661106,1
19661111,1
19661113,1
19661115,1
19661120,1
19661122,2
19661124,1
19661126,1
